user_id,account_age_days,num_followers,num_following,num_posts,num_posts_last_7_days,avg_likes_per_post,avg_comments_per_post,num_shares_per_post,num_hashtags_per_post,post_sequence,product_name,product_category,text_message,contains_link,contains_media,sentiment,is_scam_post,num_messages_sent,num_suspicious_links_shared,num_reports_received,transaction_amount,purchase_time,payment_method,is_fraud_transaction,transaction_sequence
1,3175,3052,295,124,7,283,23,44,6,"[3, 4, 1, 4, 0, 3, 3]",Smart Watch,Clothing,Check out my new Smart Watch purchase.,0,0,negative,0,83,0,0,23.64,4,PayPal,0,"[61.6, 76.16, 49.87, 25.99, 101.1]"
2,3508,3417,413,465,3,345,84,30,3,"[1, 1, 1, 4, 0, 0, 0]",Handbag,Toys,"Just got a Handbag, highly recommend it.",0,0,positive,0,81,0,1,19.84,11,PayPal,0,"[206.63, 3.09, 96.04, 116.74, 68.22]"
3,861,2302,1860,78,8,261,86,8,3,"[4, 2, 3, 4, 0, 4, 4]",Designer Shoes,Beauty,Check out my new Designer Shoes purchase.,0,0,negative,0,98,0,1,34.18,21,Credit Card,0,"[13.1, 51.42, 54.31, 46.1, 22.12]"
4,1295,2283,1995,380,7,289,4,14,6,"[2, 1, 0, 4, 1, 3, 3]",Fitness Tracker,Home Appliances,Check out my new Fitness Tracker purchase.,0,0,negative,0,42,0,1,202.42,2,Credit Card,0,"[113.5, 62.26, 37.44, 12.1, 10.39]"
5,1131,1607,134,60,18,347,6,31,0,"[3, 4, 4, 2, 0, 1, 3]",Action Figure,Clothing,Check out my new Action Figure purchase.,0,1,positive,0,24,0,1,69.19,17,Credit Card,0,"[107.36, 21.17, 141.65, 9.97, 0.92]"
6,1096,4366,524,448,0,363,2,42,4,"[1, 2, 3, 1, 0, 0, 2]",Smart Watch,Clothing,"Just got a Smart Watch, highly recommend it.",0,0,positive,0,33,0,0,158.68,15,UPI,0,"[29.31, 20.56, 178.35, 72.22, 10.2]"
7,3093,122,1008,216,3,494,12,8,5,"[1, 2, 2, 2, 4, 0, 4]",Fitness Tracker,Home Appliances,Unboxing my new Fitness Tracker!,0,0,positive,0,36,0,0,13.15,3,PayPal,0,"[53.23, 83.43, 23.47, 90.91, 1.44]"
8,1639,1280,3,281,9,8,53,23,6,"[4, 0, 2, 1, 2, 2, 4]",Fitness Tracker,Home Appliances,"Just got a Fitness Tracker, highly recommend it.",0,1,negative,0,43,0,0,58.13,2,PayPal,0,"[154.46, 32.79, 20.14, 58.24, 115.53]"
9,2170,3727,177,162,7,348,62,7,6,"[1, 0, 3, 0, 1, 0, 4]",Fitness Tracker,Home Appliances,"Bought Fitness Tracker from this store, great quality.",0,1,positive,0,61,0,1,62.92,17,PayPal,0,"[137.05, 15.78, 11.38, 6.07, 36.97]"
10,467,258,745,56,2,97,75,27,6,"[1, 3, 3, 1, 0, 3, 1]",Blender,Beauty,Unboxing my new Blender!,0,0,neutral,0,81,0,0,170.73,5,PayPal,0,"[7.54, 160.1, 24.1, 48.83, 65.14]"
11,1239,947,258,462,11,11,5,17,1,"[1, 1, 2, 0, 1, 1, 2]",Wireless Earbuds,Electronics,"Just got a Wireless Earbuds, highly recommend it.",0,0,negative,0,94,0,0,281.92,17,Credit Card,0,"[51.72, 29.36, 26.94, 92.44, 9.9]"
12,331,4958,651,190,8,271,97,42,5,"[4, 2, 1, 0, 2, 1, 0]",Action Figure,Clothing,Reviewing my Action Figure today.,0,1,neutral,0,39,0,1,43.08,18,PayPal,0,"[50.38, 302.87, 10.74, 13.6, 186.88]"
13,1483,524,1088,131,2,70,78,36,8,"[2, 3, 0, 1, 0, 0, 1]",Designer Shoes,Beauty,"Just got a Designer Shoes, highly recommend it.",1,1,neutral,0,75,0,0,22.97,18,PayPal,0,"[15.19, 3.58, 30.31, 0.24, 90.54]"
14,2136,887,1818,462,3,414,46,35,6,"[3, 0, 1, 0, 4, 3, 4]",Smart Watch,Clothing,Check out my new Smart Watch purchase.,0,0,neutral,0,7,0,1,69.88,9,Credit Card,0,"[31.16, 23.01, 38.55, 8.92, 13.07]"
15,3445,207,1386,41,5,416,81,36,6,"[0, 3, 1, 4, 3, 3, 0]",Smart Watch,Clothing,Reviewing my Smart Watch today.,0,0,neutral,0,22,0,0,20.88,12,UPI,0,"[18.9, 6.19, 28.19, 34.46, 16.94]"
